Company,Symbol,Industry
3M,MMM,Conglomerate
American Express,AXP,Consumer finance
Apple,AAPL,Consumer electronics
Boeing,BA,Aerospace and defense
Caterpillar,CAT,Construction and mining equipment
Chevron,CVX,Oil & gas
Cisco Systems,CSCO,Computer networking
Coca-Cola,KO,Beverages
ExxonMobil,XOM,Oil & gas
Walgreens Boots Alliance Inc.,WBA,Health Care
Goldman Sachs,GS,Banking
The Home Depot,HD,Home improvement retailer
IBM,IBM,Computers and technology
Intel,INTC,Semiconductors
Johnson & Johnson,JNJ,Pharmaceuticals
JPMorgan Chase,JPM,Banking
McDonald's,MCD,Fast food
Merck,MRK,Pharmaceuticals
Microsoft,MSFT,Software
Nike,NKE,Apparel
Pfizer,PFE,Pharmaceuticals
Procter & Gamble,PG,Consumer goods
Travelers,TRV,Insurance
UnitedHealth Group,UNH,Managed health care
Verizon,VZ,Telecommunication
Visa,V,Consumer banking
Walmart,WMT,Retail
Walt Disney,DIS,Broadcasting and entertainment
Google,GOOG,Software Industry
Meta,META,Communication Industry
Delta Airles,DAL,Aairlines
United Airlines,UAL,Aairlines
American Airlines,AAL,Aairlines
Hilton Hotels,HLT,Service
Marriot Hotels,MAR,Service
Gnereral Electric,GE,Tech
Wells Fargo,WFC,Banking
Maycs,M,Retail
Bank of America,BAC,Banking
Alibaba,BABA,Retail
Advanced Micro,AMD,Tech
Nikola Motors,NKLA,Tech
Gold SPDR,GLD,Commudity
Proggressive Ins,PGR,Insurance
Arbnb,ABNB,Service
Doordash,DASH,Service
Snowflake,SNOW,
Shopify,SHOP,Retail
Beyond Meat,BYND,Food
Zoom,ZM,Tech
Nvidia,NVDA,Tech
Chipotle Mex.,CMG,Food
Starbucks,SBUX,Food
Tesla,TSLA,Tech
